local mode....
1901 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
1903 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:host.name=DO-mq-dev
1903 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.version=1.7.0_65
1903 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation
1903 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre
1903 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.class.path=/etc/apache-storm-0.9.3/lib/slf4j-api-1.7.5.jar:/etc/apache-storm-0.9.3/lib/log4j-over-slf4j-1.6.6.jar:/etc/apache-storm-0.9.3/lib/joda-time-2.0.jar:/etc/apache-storm-0.9.3/lib/commons-codec-1.6.jar:/etc/apache-storm-0.9.3/lib/servlet-api-2.5.jar:/etc/apache-storm-0.9.3/lib/core.incubator-0.1.0.jar:/etc/apache-storm-0.9.3/lib/jetty-6.1.26.jar:/etc/apache-storm-0.9.3/lib/commons-exec-1.1.jar:/etc/apache-storm-0.9.3/lib/minlog-1.2.jar:/etc/apache-storm-0.9.3/lib/asm-4.0.jar:/etc/apache-storm-0.9.3/lib/clojure-1.5.1.jar:/etc/apache-storm-0.9.3/lib/jline-2.11.jar:/etc/apache-storm-0.9.3/lib/commons-fileupload-1.2.1.jar:/etc/apache-storm-0.9.3/lib/clout-1.0.1.jar:/etc/apache-storm-0.9.3/lib/ring-servlet-0.3.11.jar:/etc/apache-storm-0.9.3/lib/commons-io-2.4.jar:/etc/apache-storm-0.9.3/lib/ring-devel-0.3.11.jar:/etc/apache-storm-0.9.3/lib/snakeyaml-1.11.jar:/etc/apache-storm-0.9.3/lib/reflectasm-1.07-shaded.jar:/etc/apache-storm-0.9.3/lib/chill-java-0.3.5.jar:/etc/apache-storm-0.9.3/lib/ring-jetty-adapter-0.3.11.jar:/etc/apache-storm-0.9.3/lib/compojure-1.1.3.jar:/etc/apache-storm-0.9.3/lib/objenesis-1.2.jar:/etc/apache-storm-0.9.3/lib/tools.macro-0.1.0.jar:/etc/apache-storm-0.9.3/lib/json-simple-1.1.jar:/etc/apache-storm-0.9.3/lib/logback-classic-1.0.13.jar:/etc/apache-storm-0.9.3/lib/commons-lang-2.5.jar:/etc/apache-storm-0.9.3/lib/ring-core-1.1.5.jar:/etc/apache-storm-0.9.3/lib/hiccup-0.3.6.jar:/etc/apache-storm-0.9.3/lib/tools.logging-0.2.3.jar:/etc/apache-storm-0.9.3/lib/storm-core-0.9.3.jar:/etc/apache-storm-0.9.3/lib/logback-core-1.0.13.jar:/etc/apache-storm-0.9.3/lib/clj-stacktrace-0.2.2.jar:/etc/apache-storm-0.9.3/lib/carbonite-1.4.0.jar:/etc/apache-storm-0.9.3/lib/math.numeric-tower-0.0.1.jar:/etc/apache-storm-0.9.3/lib/tools.cli-0.2.4.jar:/etc/apache-storm-0.9.3/lib/disruptor-2.10.1.jar:/etc/apache-storm-0.9.3/lib/jetty-util-6.1.26.jar:/etc/apache-storm-0.9.3/lib/commons-logging-1.1.3.jar:/etc/apache-storm-0.9.3/lib/jgrapht-core-0.9.0.jar:/etc/apache-storm-0.9.3/lib/clj-time-0.4.1.jar:/etc/apache-storm-0.9.3/lib/kryo-2.21.jar:target/kafka-storm-ingress-0.0.1-SNAPSHOT-jar-with-dependencies.jar:/root/.storm:/etc/apache-storm-0.9.3/bin
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.library.path=/usr/lib/jvm/java-7-openjdk-amd64
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=/tmp
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.name=Linux
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.arch=amd64
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:os.version=3.13.0-27-generic
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:user.name=root
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:user.home=/root
1904 [main] INFO  org.apache.storm.zookeeper.ZooKeeper - Client environment:user.dir=/home/stuser/pof.analytics.messaging.david/kafka-storm-ingress
1911 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
1911 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:host.name=DO-mq-dev
1911 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.version=1.7.0_65
1911 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.vendor=Oracle Corporation
1911 [main] INFO  org.apache.storm.zookeeper.server.ZooKeeperServer - Server environment:java.home=/usr/lib/jvm/java-7-openjdk-amd64/jre
